                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.69819,                0.50127,                0.12207,                0.86497,                0.74552,                0.84068,                0.52975,                0.50079,                0.40483,                 0.0897,                 0.0001,                 0.0001,                 0.0001
                     93,                 0.7033,                 0.5022,                0.12383,                0.87148,                0.74105,                0.83973,                0.53257,                0.49844,                0.40288,                0.08925,                 0.0001,                 0.0001,                 0.0001
                     94,                0.69294,                0.49934,                0.12068,                0.85278,                 0.7597,                 0.8452,                0.53474,                0.49608,                0.39975,                0.08892,                 0.0001,                 0.0001,                 0.0001
                     95,                0.69988,                 0.4988,                0.12273,                0.83949,                0.76533,                0.84514,                0.53719,                0.49422,                0.39824,                0.08866,                 0.0001,                 0.0001,                 0.0001
                     96,                0.69056,                0.49582,                0.12115,                0.86339,                0.75666,                0.84962,                0.54194,                 0.4914,                0.39687,                0.08826,                 0.0001,                 0.0001,                 0.0001
                     97,                 0.6854,                0.49381,                0.11902,                0.87056,                0.76235,                0.84966,                0.54939,                0.48834,                0.39539,                0.08781,                 0.0001,                 0.0001,                 0.0001
                     98,                0.70019,                0.50207,                0.12429,                0.85513,                0.77143,                0.85655,                0.54914,                0.48696,                0.39384,                0.08767,                 0.0001,                 0.0001,                 0.0001
                     99,                0.69579,                0.50047,                 0.1217,                 0.8694,                0.77622,                0.86025,                0.55415,                0.48506,                0.39178,                0.08741,                 0.0001,                 0.0001,                 0.0001
                    100,                0.68114,                  0.492,                0.11713,                0.86548,                0.77606,                0.85633,                0.55434,                0.48195,                0.38993,                0.08722,                 0.0001,                 0.0001,                 0.0001
                    101,                0.68909,                0.49474,                0.12005,                0.85788,                0.78599,                0.85894,                0.55763,                0.47824,                0.38877,                 0.0866,                 0.0001,                 0.0001,                 0.0001
                    102,                 0.6808,                 0.4921,                 0.1189,                0.85828,                0.77819,                0.86252,                0.56017,                0.47712,                0.38746,                0.08652,                 0.0001,                 0.0001,                 0.0001
                    103,                0.68117,                0.49179,                0.11793,                0.85862,                0.78564,                0.85925,                0.55753,                0.47625,                0.38641,                0.08626,                 0.0001,                 0.0001,                 0.0001
                    104,                0.67741,                0.48945,                 0.1177,                0.86383,                0.78704,                0.86204,                 0.5617,                0.47367,                 0.3852,                0.08583,                 0.0001,                 0.0001,                 0.0001
                    105,                0.68572,                0.49086,                0.12064,                0.85049,                0.79734,                 0.8634,                0.56803,                0.47014,                0.38231,                0.08512,                 0.0001,                 0.0001,                 0.0001
                    106,                0.67249,                0.48632,                0.11609,                0.86225,                0.79711,                0.86477,                0.57178,                0.46756,                0.37975,                0.08443,                 0.0001,                 0.0001,                 0.0001
                    107,                0.67518,                0.49175,                0.11797,                0.84871,                 0.8029,                0.86463,                0.57381,                0.46442,                0.37797,                0.08394,                 0.0001,                 0.0001,                 0.0001
                    108,                0.67336,                 0.4901,                0.11596,                0.87792,                0.78988,                0.86998,                0.57586,                 0.4631,                0.37622,                0.08334,                 0.0001,                 0.0001,                 0.0001
